model  regime  cond  diff                               | n   acc%  halluc%  h/ans%  abst%  usedTool%
deepseek/deepseek-v3.2  abstain  find_iri  L1_easy      | 8     100       0      0     0      100
deepseek/deepseek-v3.2  abstain  find_iri  L2_medium    | 48     98       0      0     2      100
deepseek/deepseek-v3.2  abstain  find_iri  L3_hard      | 46     89       7      7     0      100
deepseek/deepseek-v3.2  abstain  find_iri  L4_adversarial | 71     44       1      3    55      100
deepseek/deepseek-v3.2  abstain  none  L1_easy          | 8     100       0      0     0        0
deepseek/deepseek-v3.2  abstain  none  L2_medium        | 48     25      35     35     0        0
deepseek/deepseek-v3.2  abstain  none  L3_hard          | 46     17      48     48     0        0
deepseek/deepseek-v3.2  abstain  none  L4_adversarial   | 71     14      54     63    15        0
deepseek/deepseek-v3.2  forced  find_iri  L1_easy       | 8     100       0      0     0      100
deepseek/deepseek-v3.2  forced  find_iri  L2_medium     | 48     98       2      2     0      100
deepseek/deepseek-v3.2  forced  find_iri  L3_hard       | 46     89       7      7     0      100
deepseek/deepseek-v3.2  forced  find_iri  L4_adversarial | 71     44      30     40    27      100
deepseek/deepseek-v3.2  forced  none  L1_easy           | 8     100       0      0     0        0
deepseek/deepseek-v3.2  forced  none  L2_medium         | 48     29      23     23     0        0
deepseek/deepseek-v3.2  forced  none  L3_hard           | 46     17      26     26     0        0
deepseek/deepseek-v3.2  forced  none  L4_adversarial    | 71     15      66     66     0        0
google/gemini-3.5-flash  abstain  find_iri  L1_easy     | 8     100       0      0     0      100
google/gemini-3.5-flash  abstain  find_iri  L2_medium   | 48     98       0      0     2      100
google/gemini-3.5-flash  abstain  find_iri  L3_hard     | 46     85       4      5    11      100
google/gemini-3.5-flash  abstain  find_iri  L4_adversarial | 71     44       3      6    54      100
google/gemini-3.5-flash  abstain  none  L1_easy         | 8     100       0      0     0        0
google/gemini-3.5-flash  abstain  none  L2_medium       | 48     35      21     22     4        0
google/gemini-3.5-flash  abstain  none  L3_hard         | 46     24      28     29     2        0
google/gemini-3.5-flash  abstain  none  L4_adversarial  | 71     21      37     55    34        0
google/gemini-3.5-flash  forced  find_iri  L1_easy      | 8     100       0      0     0      100
google/gemini-3.5-flash  forced  find_iri  L2_medium    | 48     98       0      0     2      100
google/gemini-3.5-flash  forced  find_iri  L3_hard      | 46     87       4      5     9      100
google/gemini-3.5-flash  forced  find_iri  L4_adversarial | 71     44      21     33    35      100
google/gemini-3.5-flash  forced  none  L1_easy          | 8     100       0      0     0        0
google/gemini-3.5-flash  forced  none  L2_medium        | 48     35      25     25     0        0
google/gemini-3.5-flash  forced  none  L3_hard          | 46     28      39     39     0        0
google/gemini-3.5-flash  forced  none  L4_adversarial   | 71     18      66     67     1        0
meta-llama/llama-4-scout  abstain  find_iri  L1_easy    | 8      88       0      0    12      100
meta-llama/llama-4-scout  abstain  find_iri  L2_medium  | 48     88       6      7     6      100
meta-llama/llama-4-scout  abstain  find_iri  L3_hard    | 46     74       9     10    11      100
meta-llama/llama-4-scout  abstain  find_iri  L4_adversarial | 71     38      14     27    48      100
meta-llama/llama-4-scout  abstain  none  L1_easy        | 8      38      50     50     0        0
meta-llama/llama-4-scout  abstain  none  L2_medium      | 48      6      42     43     2        0
meta-llama/llama-4-scout  abstain  none  L3_hard        | 46      2      48     50     4        0
meta-llama/llama-4-scout  abstain  none  L4_adversarial | 71      1      66     75    11        0
meta-llama/llama-4-scout  forced  find_iri  L1_easy     | 8     100       0      0     0      100
meta-llama/llama-4-scout  forced  find_iri  L2_medium   | 48     96       4      4     0      100
meta-llama/llama-4-scout  forced  find_iri  L3_hard     | 46     83       9      9     2      100
meta-llama/llama-4-scout  forced  find_iri  L4_adversarial | 71     42      54     56     4      100
meta-llama/llama-4-scout  forced  none  L1_easy         | 8      50      50     50     0        0
meta-llama/llama-4-scout  forced  none  L2_medium       | 48      6      52     52     0        0
meta-llama/llama-4-scout  forced  none  L3_hard         | 46      2      41     43     4        0
