model  regime  cond                                     | n   acc%  halluc%  h/ans%  abst%  usedTool%
deepseek/deepseek-v3.2  abstain  find_iri               | 173    73       2      3    23      100
deepseek/deepseek-v3.2  abstain  none                   | 173    22      45     48     6        0
deepseek/deepseek-v3.2  forced  find_iri                | 173    73      14     16    11      100
deepseek/deepseek-v3.2  forced  none                    | 173    24      40     40     0        0
google/gemini-3.5-flash  abstain  find_iri              | 173    72       2      3    25      100
google/gemini-3.5-flash  abstain  none                  | 173    29      28     34    16        0
google/gemini-3.5-flash  forced  find_iri               | 173    73      10     12    17      100
google/gemini-3.5-flash  forced  none                   | 173    29      45     45     1        0
meta-llama/llama-4-scout  abstain  find_iri             | 173    64      10     13    25      100
meta-llama/llama-4-scout  abstain  none                 | 173     5      54     57     6        0
meta-llama/llama-4-scout  forced  find_iri              | 173    71      25     26     2      100
meta-llama/llama-4-scout  forced  none                  | 173     5      59     60     2        0
openai/gpt-oss-20b  abstain  find_iri                   | 173    73       5      7    20      100
openai/gpt-oss-20b  abstain  none                       | 170     6      29     61    52        0
openai/gpt-oss-20b  forced  find_iri                    | 173    73      18     19     8      100
openai/gpt-oss-20b  forced  none                        | 170     6      64     73    13        0
qwen/qwen3.6-35b-a3b  abstain  find_iri                 | 173    73       3      4    22      100
qwen/qwen3.6-35b-a3b  abstain  none                     | 172     8      19     33    44        0
qwen/qwen3.6-35b-a3b  forced  find_iri                  | 170    74      14     15    11      100
qwen/qwen3.6-35b-a3b  forced  none                      | 173     8      41     45     8        0
